GEO_ID,NAME,Below_9th_grade,9_12th_grade,High_School_Grad,Some_College,Associate's_degree,Bachelor's_degree,Graduate_degree,Population (16+),Employed,Median Household Income,Per capita Income,Unemployment Rate,Professional (Occupation),Service (Occupation),Sales (Occupation),Construction (Occupation),Production (Occupation),Salary (Class),Gov't (Class),Self-employed (Class),Fam-unpaid (Class),Poverty,Child-poverty,Median Home value,Median Mortgage,Median Rent,Total Population,White,Black,American Indian,Asian,Pacific Islander,Hispanic/Latino
0500000US19103,"Johnson County, Iowa",2.6,2.1,16.2,17.6,8.5,28.0,25.0,120265.0,82627.0,61640.0,34310.0,3.3,47.3,18.1,19.1,5.5,10.0,69.4,26.5,4.0,0.1,17.8,12.3,216900.0,1607.0,968.0,147001,82.1,6.8,0.2,6.3,0.1,5.6
0500000US19105,"Jones County, Iowa",3.0,5.3,39.7,21.0,12.5,12.6,5.8,16646.0,9825.0,56012.0,28879.0,3.8,32.9,17.0,19.7,10.4,20.1,77.4,12.1,9.7,0.8,10.1,13.5,133000.0,1190.0,659.0,20568,95.4,2.5,0.0,1.1,0.0,1.9
0500000US19107,"Keokuk County, Iowa",1.9,5.6,41.2,19.5,13.7,13.0,5.2,8158.0,4996.0,51043.0,28630.0,4.9,33.3,15.6,16.9,14.0,20.2,72.3,15.1,12.4,0.2,10.4,13.3,88800.0,1082.0,651.0,10200,97.8,0.4,0.1,0.3,0.0,1.6
0500000US19109,"Kossuth County, Iowa",1.6,4.1,37.6,23.7,14.7,15.0,3.3,12140.0,7496.0,54146.0,29963.0,3.1,32.9,14.3,21.4,12.5,18.9,76.2,10.7,12.8,0.3,9.8,11.1,103600.0,999.0,653.0,15075,97.0,1.1,0.2,0.5,0.0,2.4
0500000US19111,"Lee County, Iowa",1.7,6.1,41.0,23.5,12.1,11.3,4.4,27909.0,15928.0,48571.0,25968.0,7.2,26.6,20.3,17.4,10.9,24.8,79.0,14.6,6.2,0.2,15.2,23.5,93300.0,988.0,637.0,34541,93.7,2.6,0.2,0.6,0.0,3.6
0500000US19113,"Linn County, Iowa",1.7,3.7,27.1,22.3,12.2,23.3,9.7,175742.0,118580.0,64862.0,34289.0,3.5,39.0,15.3,22.7,8.1,14.9,85.4,9.7,4.7,0.2,9.5,12.1,153700.0,1332.0,743.0,222121,88.4,5.3,0.2,2.3,0.1,3.2
0500000US19115,"Louisa County, Iowa",7.1,11.0,36.5,19.7,11.5,9.8,4.4,8959.0,5510.0,53943.0,27041.0,5.1,24.0,15.4,16.8,13.3,30.5,82.6,10.3,7.0,0.0,11.1,14.4,108500.0,1118.0,620.0,11223,91.2,1.1,0.5,3.8,0.0,15.8
0500000US19117,"Lucas County, Iowa",2.1,5.1,41.6,23.9,10.3,13.8,3.2,6861.0,3981.0,50206.0,28900.0,4.9,27.4,17.2,21.3,9.6,24.5,75.0,15.4,9.5,0.1,11.9,14.0,87600.0,1016.0,663.0,8597,99.1,0.2,0.0,0.0,0.0,1.8
0500000US19119,"Lyon County, Iowa",4.6,4.9,36.5,19.2,13.5,16.0,5.4,8786.0,6089.0,64352.0,29246.0,2.0,37.9,14.2,19.9,12.6,15.4,74.3,13.3,11.7,0.7,4.9,5.4,132400.0,1112.0,666.0,11769,96.9,0.1,0.7,0.2,0.3,2.6
0500000US19121,"Madison County, Iowa",2.4,2.7,35.9,22.3,12.7,18.4,5.5,12347.0,8363.0,64512.0,33069.0,4.0,38.3,15.1,18.2,13.6,14.7,79.8,13.7,6.1,0.4,6.7,5.1,166500.0,1467.0,813.0,15890,97.3,0.2,0.1,1.3,0.1,2.1
0500000US19123,"Mahaska County, Iowa",3.3,5.5,38.8,20.7,9.3,15.5,6.8,17498.0,10783.0,52950.0,27061.0,5.3,34.4,17.5,17.9,9.4,20.9,81.1,11.2,7.2,0.4,14.4,16.9,114000.0,1060.0,626.0,22208,95.1,1.6,0.3,1.4,0.1,2.1
0500000US19125,"Marion County, Iowa",2.9,3.7,35.5,20.2,11.3,17.9,8.5,26171.0,16957.0,58492.0,28832.0,3.0,35.3,15.4,18.9,8.6,21.7,82.1,11.7,6.1,0.2,9.7,11.1,152400.0,1208.0,699.0,33207,95.5,0.6,0.2,0.9,0.0,1.9
0500000US19127,"Marshall County, Iowa",9.1,7.3,34.1,20.8,9.8,13.6,5.4,31188.0,19085.0,54027.0,26516.0,5.1,26.8,16.8,18.5,10.1,27.9,83.3,12.0,4.7,0.0,10.9,15.3,105500.0,1095.0,680.0,40271,85.0,1.0,0.3,3.6,0.0,21.3
0500000US19129,"Mills County, Iowa",1.7,4.9,34.6,23.1,12.0,17.0,6.8,11826.0,7475.0,69177.0,32867.0,3.8,32.1,17.4,22.4,12.7,15.5,75.7,16.8,7.3,0.2,8.6,8.9,165200.0,1410.0,748.0,14957,96.6,0.9,0.9,0.3,0.0,3.0
0500000US19131,"Mitchell County, Iowa",5.9,4.2,39.9,19.1,13.2,12.9,4.8,8431.0,5225.0,55553.0,28898.0,3.1,31.2,16.6,19.1,12.6,20.6,74.4,12.1,12.2,1.3,9.0,12.8,114400.0,1010.0,565.0,10631,97.7,0.1,0.6,0.5,0.0,1.4
0500000US19133,"Monona County, Iowa",3.1,4.6,39.7,25.1,10.9,11.9,4.8,7188.0,4269.0,45252.0,27862.0,3.1,28.3,17.8,22.5,16.3,15.1,76.4,12.4,11.1,0.1,15.7,21.6,86700.0,922.0,585.0,8796,96.8,0.3,2.1,0.0,0.0,1.9
